product_id,product_name,category,original_price
1,Webcam,Electronics,18.00
2,Laundry Detergent,Home,28.00
3,Sunscreen,Beauty,40.00
4,Puzzle,Toys,50.00
5,Novel,Books,17.00
6,Cap,Fashion,27.00
7,Yoga Mat,Sports,38.00
8,Olive Oil,Grocery,60.00
9,Dog Food,Pets,21.00
10,Plant Fertilizer,Garden,36.00
11,Headphones,Electronics,50.00
12,Shampoo,Home,68.00
13,Sunscreen,Beauty,30.00
14,Board Game,Toys,55.00
15,Novel,Books,70.00
16,Jeans,Fashion,80.00
17,Yoga Mat,Sports,35.00
18,Tea,Grocery,70.00
19,Dog Treats,Pets,70.00
20,Garden Hose,Garden,96.00
21,Bluetooth Speaker,Electronics,30.00
22,Laundry Detergent,Home,65.00
23,Shampoo,Beauty,50.00
24,Puzzle,Toys,84.00
25,Comics,Books,40.00
26,T-Shirt,Fashion,70.00
27,Dumbbells,Sports,80.00
28,Coffee,Grocery,112.00
29,Cat Litter,Pets,40.00
30,Pruning Shears,Garden,80.00
31,Keyboard,Electronics,100.00
32,Laundry Detergent,Home,120.00
33,Shampoo,Beauty,50.00
34,Puzzle,Toys,100.00
35,Notebook,Books,100.00
36,Cap,Fashion,140.00
37,Dumbbells,Sports,60.00
38,Coffee,Grocery,120.00
39,Cat Litter,Pets,100.00
40,Pruning Shears,Garden,160.00
41,Bluetooth Speaker,Electronics,60.00
42,All-Purpose Cleaner,Home,120.00
43,Lipstick,Beauty,100.00
44,Puzzle,Toys,160.00
45,Cookbook,Books,70.00
46,Jacket,Fashion,130.00
47,Tennis Balls,Sports,130.00
48,Olive Oil,Grocery,208.00
49,Dog Treats,Pets,80.00
50,Watering Can,Garden,150.00
51,Webcam,Electronics,90.00
52,Dish Soap,Home,192.00
53,Face Wash,Beauty,90.00
54,Action Figure,Toys,180.00
55,Cookbook,Books,150.00
56,T-Shirt,Fashion,240.00
57,Water Bottle,Sports,120.00
58,Tea,Grocery,240.00
59,Dog Treats,Pets,150.00
60,Pruning Shears,Garden,320.00
61,Mouse,Electronics,120.00
62,Dish Soap,Home,240.00
63,Shampoo,Beauty,150.00
64,Puzzle,Toys,320.00
65,Novel,Books,110.00
66,Cap,Fashion,220.00
67,Tennis Balls,Sports,210.00
68,Pasta,Grocery,416.00
69,Pet Shampoo,Pets,140.00
70,Plant Fertilizer,Garden,240.00
71,Mouse,Electronics,210.00
72,Paper Towels,Home,384.00
73,Lipstick,Beauty,150.00
74,Puzzle,Toys,300.00
75,Notebook,Books,300.00
76,Sneakers,Fashion,480.00
77,Water Bottle,Sports,180.00
78,Tea,Grocery,340.00
79,Dog Treats,Pets,300.00
80,Watering Can,Garden,640.00
81,Bluetooth Speaker,Electronics,180.00
82,Shampoo,Home,340.00
83,Moisturizer,Beauty,300.00
84,Board Game,Toys,640.00
85,Novel,Books,220.00
86,T-Shirt,Fashion,440.00
87,Water Bottle,Sports,390.00
88,Tea,Grocery,832.00
89,Dog Treats,Pets,280.00
90,Pruning Shears,Garden,480.00
91,Keyboard,Electronics,390.00
92,Trash Bags,Home,768.00
93,Moisturizer,Beauty,270.00
94,Puzzle,Toys,540.00
95,Comics,Books,450.00
96,Sneakers,Fashion,960.00
97,Dumbbells,Sports,320.00
98,Tea,Grocery,560.00
99,Dog Food,Pets,450.00
100,Watering Can,Garden,1280.00
101,Headphones,Electronics,320.00
102,Laundry Detergent,Home,560.00
103,Moisturizer,Beauty,450.00
104,Action Figure,Toys,1280.00
105,Cookbook,Books,330.00
106,Jacket,Fashion,660.00
107,Tennis Balls,Sports,630.00
108,Cereal,Grocery,1664.00
109,Dog Food,Pets,380.00
110,Plant Fertilizer,Garden,560.00
111,Mouse,Electronics,630.00
112,Paper Towels,Home,1536.00
113,Shampoo,Beauty,390.00
114,Building Blocks,Toys,720.00
115,Cookbook,Books,1050.00
116,Jacket,Fashion,1920.00
117,Water Bottle,Sports,520.00
118,Cereal,Grocery,1120.00
119,Pet Shampoo,Pets,1050.00
120,Watering Can,Garden,2560.00
121,Phone Charger,Electronics,520.00
122,Laundry Detergent,Home,1120.00
123,Lipstick,Beauty,1050.00
124,Action Figure,Toys,2560.00
125,Cookbook,Books,550.00
126,Jeans,Fashion,1100.00
127,Dumbbells,Sports,990.00
128,Coffee,Grocery,3328.00
129,Dog Treats,Pets,620.00
130,Plant Fertilizer,Garden,1120.00
131,USB Cable,Electronics,990.00
132,Dish Soap,Home,3072.00
133,Lipstick,Beauty,630.00
134,Action Figure,Toys,1200.00
135,Comics,Books,1350.00
136,Cap,Fashion,3840.00
137,Water Bottle,Sports,840.00
138,Tea,Grocery,1920.00
139,Pet Shampoo,Pets,1350.00
140,Plant Fertilizer,Garden,5120.00
141,Headphones,Electronics,840.00
142,Paper Towels,Home,1920.00
143,Shampoo,Beauty,1350.00
144,Board Game,Toys,5120.00
145,Comics,Books,990.00
146,Jacket,Fashion,2080.00
147,Tennis Balls,Sports,1470.00
148,Coffee,Grocery,6656.00
149,Dog Treats,Pets,1100.00
150,Watering Can,Garden,2240.00
