flash_sale_id,name,start_time_id,end_time_id
1,Super Summer Clearance,344,389
2,Mega Winter Specials,231,237
3,One-Day Fall Clearance,171,174
4,Mega Cyber Monday Event,48,50
5,Summer Surprise,19,24
6,Super Exclusive Bonanza,297,308
7,Winter Discount,45,46
8,One-Day Winter Extravaganza,869,901
9,Ultimate Black Friday Clearance,20,22
10,Ultimate Spring Offer,1,4
11,One-Day Fall Clearance,734,744
12,Ultimate Spring Event,859,865
13,Summer Specials,34,36
14,Super Summer Offer,47,49
15,Cyber Monday Surprise,650,654
16,Weekend Holiday Offer,5,9
17,Mega Spring Surprise,41,44
18,Ultimate Holiday Bonanza,813,849
19,One-Day Limited Time Extravaganza,8,10
20,Super Back-to-School Extravaganza,944,950
21,Mega Spring Discount,14,16
22,Ultimate Cyber Monday Flash SaleDeals,11,12
23,Weekend Spring Flash SaleDeals,994,999
24,One-Day Summer Event,42,43
25,Weekend Spring Flash SaleDeals,31,35
26,Weekend Summer Discount,37,39
27,Ultimate Spring Surprise,354,388
28,Super Fall Extravaganza,468,478
29,Weekend Fall Specials,15,18
30,Limited Time Bonanza,23,26
31,Super Exclusive Sale,1011,1035
32,One-Day Cyber Monday Specials,788,802
33,Limited Time Clearance,29,30
34,Black Friday Surprise,1026,1032
35,Weekend Summer Bonanza,810,847
36,Super Winter Discount,2,3
37,Weekend Cyber Monday Bonanza,6,7
38,Ultimate Holiday Surprise,990,1006
39,Ultimate Winter Flash SaleDeals,21,25
40,Weekend Winter Sale,13,17
41,Mega Back-to-School Clearance,32,33
42,Winter Sale,406,438
43,Weekend Exclusive Specials,1027,1054
44,One-Day Limited Time Event,691,711
45,Super Holiday Surprise,38,40
46,One-Day Winter Extravaganza,27,28
47,Super Fall Surprise,361,387
48,Mega Spring Offer,880,884
49,Summer Bonanza,956,988
50,Cyber Monday Bonanza,862,897
