product_id,product_name,category,original_price
1,1984,Books,401.68
2,Barbie Dreamhouse,Toys,489.3
3,AirPods Pro,Headphones,343.45
4,Dell XPS 13,Laptops,126.26
5,Puma RS-X,Shoes,205.97
6,Ashley Dining Table,Furniture,427.36
7,Uniqlo Hoodie,Clothing,316.93
8,Nerf Blaster,Toys,374.6
9,Philips Airfryer,Kitchen Appliances,194.1
10,Levi's Jeans,Clothing,319.28
11,West Elm Chair,Furniture,455.16
12,Fossil Gen 6,Watches,229.51
13,iPhone 14,Smartphones,217.2
14,H&M T-Shirt,Clothing,337.04
15,Jabra Elite 85h,Headphones,186.03
16,Ashley Dining Table,Furniture,198.1
17,The Catcher in the Rye,Books,488.66
18,Sony WH-1000XM4,Headphones,147.83
19,LEGO Star Wars,Toys,244.92
20,Pixel 7,Smartphones,409.21
21,West Elm Chair,Furniture,291.95
22,Pixel 7,Smartphones,431.44
23,iPhone 14,Smartphones,484.82
24,Apple Watch Series 8,Watches,276.55
25,Ashley Dining Table,Furniture,376.02
26,Ashley Dining Table,Furniture,220.94
27,Reebok Nano X,Shoes,436.94
28,Zara Jacket,Clothing,255.26
29,The Catcher in the Rye,Books,221.4
30,Ashley Dining Table,Furniture,494.06
31,Apple Watch Series 8,Watches,147.1
32,Pixel 7,Smartphones,133.84
33,Nerf Blaster,Toys,48.92
34,Philips Airfryer,Kitchen Appliances,133.76
35,AirPods Pro,Headphones,25.25
36,Levi's Jeans,Clothing,63.23
37,H&M T-Shirt,Clothing,292.3
38,Philips Airfryer,Kitchen Appliances,314.51
39,HP Spectre,Laptops,338.94
40,Philips Airfryer,Kitchen Appliances,355.34
41,Instant Pot,Kitchen Appliances,340.83
42,Dell XPS 13,Laptops,89.0
43,Dell XPS 13,Laptops,246.62
44,To Kill a Mockingbird,Books,242.78
45,KitchenAid Mixer,Kitchen Appliances,376.01
46,H&M T-Shirt,Clothing,216.22
47,Nerf Blaster,Toys,356.01
48,LEGO Star Wars,Toys,171.69
49,Nike Air Max,Shoes,292.2
50,Hot Wheels Track,Toys,34.84
51,Hot Wheels Track,Toys,180.05
52,The Great Gatsby,Books,371.22
53,Zara Jacket,Clothing,192.31
54,iPhone 14,Smartphones,351.37
55,Uniqlo Hoodie,Clothing,23.84
56,Apple Watch Series 8,Watches,43.78
57,Levi's Jeans,Clothing,437.98
58,Uniqlo Hoodie,Clothing,188.5
59,West Elm Chair,Furniture,92.89
60,Nike Air Max,Shoes,232.91
61,HP Spectre,Laptops,460.16
62,Galaxy S21,Smartphones,250.26
63,Samsung Galaxy Watch,Watches,288.49
64,Ninja Blender,Kitchen Appliances,207.92
65,H&M T-Shirt,Clothing,496.25
66,1984,Books,89.73
67,1984,Books,147.73
68,KitchenAid Mixer,Kitchen Appliances,317.33
69,Fossil Gen 6,Watches,266.66
70,Ashley Dining Table,Furniture,245.17
71,1984,Books,294.72
72,Garmin Fenix 7,Watches,101.65
73,Barbie Dreamhouse,Toys,435.65
74,AirPods Pro,Headphones,116.17
75,Fossil Gen 6,Watches,172.31
76,Ikea Sofa,Furniture,10.4
77,Jabra Elite 85h,Headphones,492.94
78,Reebok Nano X,Shoes,439.18
79,H&M T-Shirt,Clothing,454.91
80,LEGO Star Wars,Toys,458.07
81,H&M T-Shirt,Clothing,384.71
82,Philips Airfryer,Kitchen Appliances,207.75
83,iPhone 14,Smartphones,258.98
84,Galaxy S21,Smartphones,431.13
85,Ninja Blender,Kitchen Appliances,229.34
86,Ashley Dining Table,Furniture,111.62
87,OnePlus 11,Smartphones,251.69
88,West Elm Chair,Furniture,378.31
89,Samsung Galaxy Watch,Watches,292.93
90,iPhone 14,Smartphones,53.41
91,West Elm Chair,Furniture,278.25
92,Nike Air Max,Shoes,438.01
93,Instant Pot,Kitchen Appliances,494.06
94,Pixel 7,Smartphones,446.07
95,Wayfair Bed Frame,Furniture,424.9
96,Wayfair Bed Frame,Furniture,132.98
97,Barbie Dreamhouse,Toys,257.94
98,Levi's Jeans,Clothing,287.74
99,Bose QC45,Headphones,42.09
100,Wayfair Bed Frame,Furniture,277.0
101,Barbie Dreamhouse,Toys,15.16
102,Nerf Blaster,Toys,246.17
103,Lenovo ThinkPad,Laptops,452.57
104,Pixel 7,Smartphones,82.03
105,Adidas Ultraboost,Shoes,93.87
106,HP Spectre,Laptops,206.75
107,Apple Watch Series 8,Watches,249.71
108,Philips Airfryer,Kitchen Appliances,397.61
109,Fossil Gen 6,Watches,329.05
110,Instant Pot,Kitchen Appliances,444.44
111,MacBook Pro,Laptops,334.53
112,Zara Jacket,Clothing,401.31
113,West Elm Chair,Furniture,151.03
114,Wayfair Bed Frame,Furniture,448.81
115,The Great Gatsby,Books,47.04
116,Adidas Ultraboost,Shoes,74.01
117,Wayfair Bed Frame,Furniture,202.91
118,To Kill a Mockingbird,Books,443.25
119,Puma RS-X,Shoes,206.41
120,Ashley Dining Table,Furniture,253.09
121,West Elm Chair,Furniture,168.45
122,To Kill a Mockingbird,Books,452.02
123,Garmin Fenix 7,Watches,260.34
124,KitchenAid Mixer,Kitchen Appliances,330.29
125,Fossil Gen 6,Watches,210.49
126,Instant Pot,Kitchen Appliances,431.85
127,The Great Gatsby,Books,448.62
128,To Kill a Mockingbird,Books,293.07
129,LEGO Star Wars,Toys,454.02
130,Galaxy S21,Smartphones,340.27
131,Nerf Blaster,Toys,374.37
132,Ashley Dining Table,Furniture,485.01
133,iPhone 14,Smartphones,107.04
134,Nike Air Max,Shoes,85.67
135,H&M T-Shirt,Clothing,50.69
136,Adidas Ultraboost,Shoes,328.48
137,Hot Wheels Track,Toys,235.8
138,To Kill a Mockingbird,Books,178.71
139,HP Spectre,Laptops,385.35
140,Pixel 7,Smartphones,226.44
141,HP Spectre,Laptops,476.7
142,The Great Gatsby,Books,75.53
143,Ikea Sofa,Furniture,208.21
144,Pixel 7,Smartphones,43.65
145,H&M T-Shirt,Clothing,323.26
146,Pixel 7,Smartphones,92.12
147,Ninja Blender,Kitchen Appliances,263.75
148,KitchenAid Mixer,Kitchen Appliances,495.46
149,Jabra Elite 85h,Headphones,299.25
150,Zara Jacket,Clothing,453.15
151,Galaxy S21,Smartphones,49.9
152,Ashley Dining Table,Furniture,427.52
153,Ninja Blender,Kitchen Appliances,455.54
154,West Elm Chair,Furniture,445.99
155,Nerf Blaster,Toys,160.1
156,The Great Gatsby,Books,234.29
157,Levi's Jeans,Clothing,313.86
158,Nike Air Max,Shoes,74.01
159,Zara Jacket,Clothing,374.97
160,Barbie Dreamhouse,Toys,427.96
161,H&M T-Shirt,Clothing,418.76
162,Nerf Blaster,Toys,193.02
163,iPhone 14,Smartphones,287.63
164,Barbie Dreamhouse,Toys,318.15
165,To Kill a Mockingbird,Books,307.67
166,Apple Watch Series 8,Watches,305.57
167,Puma RS-X,Shoes,263.44
168,Ikea Sofa,Furniture,326.28
169,Lenovo ThinkPad,Laptops,82.72
170,Ikea Sofa,Furniture,10.76
171,Apple Watch Series 8,Watches,458.28
172,Pixel 7,Smartphones,349.38
173,Levi's Jeans,Clothing,238.7
174,Adidas Ultraboost,Shoes,109.66
175,Galaxy S21,Smartphones,44.79
176,Ashley Dining Table,Furniture,55.01
177,Ikea Sofa,Furniture,301.59
178,Puma RS-X,Shoes,287.7
179,Puma RS-X,Shoes,435.34
180,Galaxy S21,Smartphones,100.06
181,Nike Air Max,Shoes,109.97
182,KitchenAid Mixer,Kitchen Appliances,97.8
183,To Kill a Mockingbird,Books,78.39
184,MacBook Pro,Laptops,450.44
185,MacBook Pro,Laptops,397.52
186,The Great Gatsby,Books,272.83
187,Ashley Dining Table,Furniture,37.37
188,Sony WH-1000XM4,Headphones,72.63
189,Pixel 7,Smartphones,391.2
190,AirPods Pro,Headphones,164.3
191,Apple Watch Series 8,Watches,212.6
192,HP Spectre,Laptops,188.67
193,HP Spectre,Laptops,431.54
194,Galaxy S21,Smartphones,361.44
195,Ninja Blender,Kitchen Appliances,25.83
196,The Catcher in the Rye,Books,141.54
197,The Great Gatsby,Books,496.99
198,Nerf Blaster,Toys,224.02
199,LEGO Star Wars,Toys,255.77
200,Philips Airfryer,Kitchen Appliances,138.53
201,Ashley Dining Table,Furniture,140.1
202,West Elm Chair,Furniture,58.97
203,Adidas Ultraboost,Shoes,344.9
204,Fossil Gen 6,Watches,452.3
205,iPhone 14,Smartphones,32.98
206,KitchenAid Mixer,Kitchen Appliances,128.33
207,Lenovo ThinkPad,Laptops,52.94
208,Samsung Galaxy Watch,Watches,33.6
209,Nerf Blaster,Toys,151.43
210,Jabra Elite 85h,Headphones,243.17
211,KitchenAid Mixer,Kitchen Appliances,463.77
212,Garmin Fenix 7,Watches,401.64
213,Uniqlo Hoodie,Clothing,177.01
214,To Kill a Mockingbird,Books,74.77
215,Jabra Elite 85h,Headphones,42.89
216,Apple Watch Series 8,Watches,369.13
217,Nike Air Max,Shoes,174.21
218,Adidas Ultraboost,Shoes,411.62
219,Sony WH-1000XM4,Headphones,144.69
220,Garmin Fenix 7,Watches,380.32
221,Ikea Sofa,Furniture,91.34
222,OnePlus 11,Smartphones,214.49
223,KitchenAid Mixer,Kitchen Appliances,187.92
224,Ashley Dining Table,Furniture,238.55
225,Samsung Galaxy Watch,Watches,148.87
226,West Elm Chair,Furniture,63.56
227,1984,Books,302.72
228,To Kill a Mockingbird,Books,200.74
229,Ninja Blender,Kitchen Appliances,155.11
230,Ashley Dining Table,Furniture,220.34
231,Instant Pot,Kitchen Appliances,452.23
232,Bose QC45,Headphones,359.5
233,Uniqlo Hoodie,Clothing,104.99
234,Ikea Sofa,Furniture,114.81
235,Jabra Elite 85h,Headphones,56.76
236,Levi's Jeans,Clothing,498.05
237,Adidas Ultraboost,Shoes,301.94
238,Ninja Blender,Kitchen Appliances,217.89
239,Barbie Dreamhouse,Toys,20.19
240,Nike Air Max,Shoes,218.87
241,The Great Gatsby,Books,450.8
242,Barbie Dreamhouse,Toys,276.43
243,Philips Airfryer,Kitchen Appliances,236.37
244,Dell XPS 13,Laptops,479.04
245,Philips Airfryer,Kitchen Appliances,334.96
246,Lenovo ThinkPad,Laptops,86.14
247,Apple Watch Series 8,Watches,482.04
248,OnePlus 11,Smartphones,80.16
249,KitchenAid Mixer,Kitchen Appliances,302.59
250,1984,Books,188.56
251,Levi's Jeans,Clothing,173.91
252,Lenovo ThinkPad,Laptops,10.82
253,KitchenAid Mixer,Kitchen Appliances,456.5
254,Bose QC45,Headphones,315.62
255,KitchenAid Mixer,Kitchen Appliances,33.7
256,The Great Gatsby,Books,437.39
257,The Catcher in the Rye,Books,483.88
258,West Elm Chair,Furniture,249.18
259,Zara Jacket,Clothing,489.6
260,Ninja Blender,Kitchen Appliances,267.4
261,Apple Watch Series 8,Watches,172.01
262,MacBook Pro,Laptops,484.89
263,Ninja Blender,Kitchen Appliances,159.15
264,Bose QC45,Headphones,266.06
265,iPhone 14,Smartphones,472.44
266,Fossil Gen 6,Watches,136.72
267,1984,Books,275.44
268,Fossil Gen 6,Watches,88.72
269,Nerf Blaster,Toys,100.25
270,iPhone 14,Smartphones,91.76
271,OnePlus 11,Smartphones,64.27
272,Adidas Ultraboost,Shoes,286.27
273,KitchenAid Mixer,Kitchen Appliances,408.29
274,Apple Watch Series 8,Watches,490.52
275,Zara Jacket,Clothing,92.63
276,Hot Wheels Track,Toys,59.08
277,Puma RS-X,Shoes,338.75
278,Dell XPS 13,Laptops,425.9
279,Uniqlo Hoodie,Clothing,115.82
280,iPhone 14,Smartphones,499.28
281,Levi's Jeans,Clothing,33.17
282,Apple Watch Series 8,Watches,169.25
283,Hot Wheels Track,Toys,397.04
284,The Catcher in the Rye,Books,99.07
285,Pixel 7,Smartphones,69.72
286,1984,Books,156.85
287,Pixel 7,Smartphones,469.1
288,Jabra Elite 85h,Headphones,231.89
289,Philips Airfryer,Kitchen Appliances,242.62
290,Zara Jacket,Clothing,391.48
291,Galaxy S21,Smartphones,191.63
292,The Great Gatsby,Books,425.77
293,Levi's Jeans,Clothing,50.35
294,To Kill a Mockingbird,Books,248.15
295,Apple Watch Series 8,Watches,343.9
296,Nike Air Max,Shoes,53.38
297,Instant Pot,Kitchen Appliances,219.81
298,Lenovo ThinkPad,Laptops,466.54
299,HP Spectre,Laptops,45.26
300,To Kill a Mockingbird,Books,278.41
301,Nerf Blaster,Toys,125.18
302,Bose QC45,Headphones,331.22
303,Ashley Dining Table,Furniture,469.78
304,To Kill a Mockingbird,Books,285.23
