time_id,t_hour,t_day,t_month,t_year
1,5,3,1,2024
2,11,3,1,2024
3,11,5,1,2024
4,5,6,1,2024
5,2,30,1,2024
6,9,30,1,2024
7,9,31,1,2024
8,20,3,2,2024
9,2,8,2,2024
10,20,10,2,2024
11,21,15,2,2024
12,21,26,2,2024
13,17,25,4,2024
14,21,27,4,2024
15,11,4,5,2024
16,21,4,5,2024
17,17,5,5,2024
18,11,7,5,2024
19,18,20,5,2024
20,17,23,5,2024
21,23,23,5,2024
22,17,27,5,2024
23,22,30,5,2024
24,18,3,6,2024
25,23,4,6,2024
26,22,11,6,2024
27,15,13,7,2024
28,15,16,7,2024
29,14,28,7,2024
30,14,31,7,2024
31,8,10,8,2024
32,5,11,8,2024
33,5,12,8,2024
34,17,12,8,2024
35,8,21,8,2024
36,17,21,8,2024
37,3,25,8,2024
38,18,28,8,2024
39,3,29,8,2024
40,18,2,9,2024
41,1,12,9,2024
42,7,19,9,2024
43,7,22,9,2024
44,1,25,9,2024
45,5,22,10,2024
46,5,25,10,2024
47,5,7,11,2024
48,0,12,11,2024
49,5,19,11,2024
50,0,23,11,2024
51,20,27,11,2024
52,10,28,11,2024
53,16,28,11,2024
54,17,28,11,2024
55,21,28,11,2024
56,1,29,11,2024
57,23,29,11,2024
58,1,30,11,2024
59,3,30,11,2024
60,6,30,11,2024
61,7,30,11,2024
62,10,30,11,2024
63,22,30,11,2024
64,0,1,12,2024
65,10,1,12,2024
66,14,1,12,2024
67,15,1,12,2024
68,16,1,12,2024
69,20,1,12,2024
70,20,1,12,2024
71,22,1,12,2024
72,0,2,12,2024
73,0,2,12,2024
74,1,2,12,2024
75,3,2,12,2024
76,3,2,12,2024
77,5,3,12,2024
78,1,4,12,2024
79,14,4,12,2024
80,15,4,12,2024
81,17,4,12,2024
82,17,4,12,2024
83,18,4,12,2024
84,0,5,12,2024
85,20,5,12,2024
86,23,5,12,2024
87,8,7,12,2024
88,9,7,12,2024
89,9,7,12,2024
90,16,7,12,2024
91,22,7,12,2024
92,21,8,12,2024
93,4,9,12,2024
94,9,9,12,2024
95,11,9,12,2024
96,2,10,12,2024
97,15,10,12,2024
98,1,11,12,2024
99,3,12,12,2024
100,20,12,12,2024
101,22,12,12,2024
102,10,13,12,2024
103,12,13,12,2024
104,22,13,12,2024
105,12,14,12,2024
106,12,14,12,2024
107,12,14,12,2024
108,19,14,12,2024
109,20,14,12,2024
110,0,15,12,2024
111,3,15,12,2024
112,23,16,12,2024
113,9,17,12,2024
114,11,17,12,2024
115,13,17,12,2024
116,9,18,12,2024
117,14,18,12,2024
118,7,20,12,2024
119,14,20,12,2024
120,23,20,12,2024
121,1,21,12,2024
122,6,21,12,2024
123,10,21,12,2024
124,3,22,12,2024
125,17,22,12,2024
126,17,22,12,2024
127,23,22,12,2024
128,0,23,12,2024
129,19,23,12,2024
130,22,23,12,2024
131,16,24,12,2024
132,18,24,12,2024
133,20,24,12,2024
134,14,25,12,2024
135,15,25,12,2024
136,19,25,12,2024
137,3,26,12,2024
138,10,26,12,2024
139,11,26,12,2024
140,14,26,12,2024
141,16,26,12,2024
142,1,27,12,2024
143,13,27,12,2024
144,21,27,12,2024
145,9,28,12,2024
146,0,29,12,2024
147,8,29,12,2024
148,11,29,12,2024
149,14,29,12,2024
150,22,29,12,2024
151,5,30,12,2024
152,6,30,12,2024
153,12,30,12,2024
154,14,31,12,2024
155,19,31,12,2024
156,6,1,1,2025
157,19,1,1,2025
158,20,1,1,2025
159,2,2,1,2025
160,5,2,1,2025
161,6,2,1,2025
162,13,3,1,2025
163,15,3,1,2025
164,9,4,1,2025
165,12,4,1,2025
166,21,4,1,2025
167,11,5,1,2025
168,19,5,1,2025
169,3,6,1,2025
170,0,7,1,2025
171,1,7,1,2025
172,8,7,1,2025
173,10,7,1,2025
174,1,8,1,2025
175,3,8,1,2025
176,13,8,1,2025
177,19,8,1,2025
178,20,8,1,2025
179,21,8,1,2025
180,2,9,1,2025
181,12,9,1,2025
182,20,9,1,2025
183,4,10,1,2025
184,10,10,1,2025
185,11,10,1,2025
186,19,10,1,2025
187,0,11,1,2025
188,2,11,1,2025
189,16,11,1,2025
