order_id,product_id,time_id,buyer_id,seller_id,flash_sale_id,quantity_sold,price_per_item,total_sale
1,923,127,2210,80,0,2,19.93,39.86
2,711,681,4123,90,8,10,217.70,2177.00
3,239,640,2123,35,34,3,16.54,49.62
4,569,335,1500,47,0,10,332.99,3329.90
5,571,187,7288,81,14,1,161.09,161.09
6,861,648,9449,63,5,4,285.13,1140.52
7,710,125,7226,52,19,2,66.00,132.00
8,757,704,3829,59,20,9,39.97,359.73
9,725,741,9754,80,2,9,115.61,1040.49
10,476,653,7016,7,0,10,76.99,769.90
11,307,590,2745,65,33,4,268.59,1074.36
12,128,887,4052,3,0,3,245.09,735.27
13,315,555,3180,65,0,10,199.91,1999.10
14,154,109,7736,9,20,1,263.81,263.81
15,957,929,4881,94,0,3,240.99,722.97
16,507,475,3802,40,0,3,63.38,190.14
17,341,857,6410,23,0,5,217.74,1088.70
18,174,900,9965,48,0,9,80.46,724.14
19,588,781,3475,10,6,2,239.81,479.62
20,872,727,5779,22,9,3,218.23,654.69
21,777,608,7991,47,0,6,174.70,1048.20
22,106,626,9488,35,8,8,140.22,1121.76
23,52,703,8794,67,0,4,241.72,966.88
24,304,889,5391,16,26,5,270.11,1350.55
25,316,570,4257,85,0,2,345.92,691.84
26,651,848,2619,38,0,7,52.87,370.09
27,740,370,8081,55,23,10,335.79,3357.90
28,664,337,6087,21,0,9,165.57,1490.13
29,799,484,2995,11,0,8,30.59,244.72
30,419,235,4363,46,47,8,149.88,1199.04
31,446,168,7184,97,37,8,217.29,1738.32
32,451,396,1629,40,45,1,88.87,88.87
33,452,491,6895,19,0,7,143.45,1004.15
34,247,954,5734,62,0,7,311.73,2182.11
35,197,979,9384,13,0,9,396.54,3568.86
36,348,309,9032,48,0,9,237.72,2139.48
37,410,836,1406,16,6,6,117.06,702.36
38,956,413,6929,92,25,7,158.66,1110.62
39,746,1049,9177,82,0,7,199.16,1394.12
40,350,390,4048,90,41,6,343.91,2063.46
41,550,753,5011,35,32,8,261.14,2089.12
42,711,1064,9841,90,8,10,217.70,2177.00
43,458,280,3654,98,22,2,190.74,381.48
44,291,658,9631,91,25,7,128.77,901.39
45,388,1018,9767,26,13,1,236.15,236.15
46,978,586,8717,1,12,4,234.48,937.92
47,413,364,1713,69,27,4,183.16,732.64
48,320,668,1395,6,0,9,441.89,3977.01
49,363,316,3592,5,0,5,49.44,247.20
50,226,639,4012,92,46,7,52.77,369.39
51,613,672,8811,67,4,4,59.80,239.20
52,281,736,3539,45,23,9,25.67,231.03
53,403,515,5679,5,0,6,193.15,1158.90
54,140,293,9997,21,0,2,142.30,284.60
55,28,145,3122,70,0,10,134.24,1342.40
56,432,314,8540,96,0,8,55.81,446.48
57,505,373,4372,5,0,3,362.20,1086.60
58,537,800,9118,4,0,9,260.23,2342.07
59,434,649,4106,80,32,10,137.38,1373.80
60,283,592,4539,58,0,6,197.03,1182.18
61,602,160,3405,57,44,9,200.46,1804.14
62,814,780,9061,14,0,2,246.32,492.64
63,666,175,4434,52,11,1,222.63,222.63
64,298,587,6818,63,0,9,343.39,3090.51
65,680,1037,1768,100,0,7,127.81,894.67
66,49,275,8118,86,16,2,174.26,348.52
67,156,762,985,63,10,7,219.48,1536.36
68,970,776,8202,93,46,7,297.08,2079.56
69,304,215,5393,16,26,5,270.11,1350.55
70,667,939,1028,86,5,2,220.66,441.32
71,766,784,433,67,0,3,310.29,930.87
72,19,218,5004,77,0,1,191.74,191.74
73,477,369,5335,84,0,4,365.31,1461.24
74,304,329,1345,16,26,9,270.11,2430.99
75,780,514,4254,79,0,6,158.78,952.68
76,111,407,7658,39,0,10,199.36,1993.60
77,738,931,9286,94,0,5,204.13,1020.65
78,403,243,1734,5,0,2,193.15,386.30
79,440,934,7815,66,0,7,176.47,1235.29
80,742,256,2070,32,19,5,51.39,256.95
81,84,632,4501,40,19,5,201.47,1007.35
82,242,689,1450,13,0,5,186.68,933.40
83,899,646,1788,80,23,3,116.22,348.66
84,995,697,2533,85,0,6,267.46,1604.76
85,223,107,7767,10,0,6,175.01,1050.06
86,118,137,627,71,27,6,228.70,1372.20
87,609,161,6004,8,41,7,46.84,327.88
88,402,699,3822,38,0,5,196.02,980.10
89,547,412,2193,32,0,5,41.39,206.95
90,965,811,3655,11,0,7,235.85,1650.95
91,495,910,9179,8,0,6,385.69,2314.14
92,823,348,4329,33,16,7,54.01,378.07
93,423,1093,7906,97,32,7,73.17,512.19
94,56,66,7603,92,0,9,31.73,285.57
95,764,1033,8709,88,50,9,91.18,820.62
96,973,1031,6432,43,0,1,242.13,242.13
97,65,146,5527,31,0,3,445.89,1337.67
98,132,510,3304,70,0,8,250.61,2004.88
99,941,949,8434,85,29,6,199.30,1195.80
100,11,512,4240,27,9,2,209.40,418.80
101,578,761,9349,37,1,8,236.00,1888.00
102,506,188,5057,59,0,8,265.76,2126.08
103,373,867,1254,8,0,1,65.83,65.83
104,694,607,2562,82,36,5,73.36,366.80
