time_id,t_hour,t_day,t_month,t_year
1,14,8,1,2024
2,14,11,1,2024
3,17,20,4,2024
4,17,1,5,2024
5,22,16,5,2024
6,22,29,5,2024
7,6,4,7,2024
8,6,14,7,2024
9,14,1,9,2024
10,14,4,9,2024
11,22,27,11,2024
12,6,28,11,2024
13,10,2,12,2024
14,18,5,12,2024
15,12,12,12,2024
16,16,15,12,2024
17,5,17,12,2024
18,8,19,12,2024
19,4,22,12,2024
20,21,23,12,2024
21,11,24,12,2024
22,21,24,12,2024
23,2,26,12,2024
24,12,26,12,2024
25,5,30,12,2024
26,0,3,1,2025
27,17,7,1,2025
28,0,15,1,2025
29,1,18,1,2025
30,18,20,1,2025
31,15,23,1,2025
32,6,26,1,2025
33,8,26,1,2025
34,20,27,1,2025
35,5,5,2,2025
36,13,6,2,2025
37,15,6,2,2025
38,6,13,2,2025
39,11,13,2,2025
40,19,13,2,2025
41,22,14,2,2025
42,23,14,2,2025
43,18,18,2,2025
44,12,19,2,2025
45,15,26,2,2025
46,17,27,2,2025
47,2,1,3,2025
48,23,1,3,2025
49,11,3,3,2025
50,2,4,3,2025
51,17,4,3,2025
52,12,7,3,2025
53,15,9,3,2025
54,0,12,3,2025
55,21,14,3,2025
56,3,17,3,2025
57,21,18,3,2025
58,12,19,3,2025
59,19,19,3,2025
60,1,21,3,2025
61,15,23,3,2025
62,23,25,3,2025
63,14,26,3,2025
64,19,5,4,2025
65,11,8,4,2025
66,3,13,4,2025
67,1,18,4,2025
68,12,18,4,2025
69,0,20,4,2025
70,11,20,4,2025
71,0,23,4,2025
72,15,27,4,2025
73,19,27,4,2025
74,15,28,4,2025
75,22,28,4,2025
76,18,30,4,2025
77,7,2,5,2025
78,22,2,5,2025
79,20,10,5,2025
80,0,15,5,2025
81,1,15,5,2025
82,4,20,5,2025
83,8,20,5,2025
84,9,30,5,2025
85,17,1,6,2025
86,0,3,6,2025
87,2,12,6,2025
88,22,12,6,2025
89,9,13,6,2025
90,19,13,6,2025
91,21,13,6,2025
92,9,15,6,2025
93,22,17,6,2025
94,3,19,6,2025
95,16,20,6,2025
96,9,23,6,2025
97,20,26,6,2025
98,13,27,6,2025
99,1,29,6,2025
100,11,30,6,2025
101,20,30,6,2025
102,0,7,7,2025
103,5,10,7,2025
104,5,10,7,2025
105,5,11,7,2025
106,7,11,7,2025
107,5,14,7,2025
108,22,15,7,2025
109,6,16,7,2025
110,11,17,7,2025
111,6,19,7,2025
112,9,19,7,2025
113,8,22,7,2025
114,3,24,7,2025
115,18,1,8,2025
116,16,2,8,2025
117,19,5,8,2025
118,15,6,8,2025
119,11,8,8,2025
120,18,8,8,2025
121,12,11,8,2025
122,1,16,8,2025
123,15,20,8,2025
124,17,26,8,2025
125,23,26,8,2025
126,23,26,8,2025
127,12,27,8,2025
128,2,5,9,2025
129,8,5,9,2025
130,12,6,9,2025
131,21,9,9,2025
132,5,10,9,2025
133,7,11,9,2025
134,13,13,9,2025
135,22,15,9,2025
136,15,16,9,2025
137,1,18,9,2025
138,0,20,9,2025
139,21,21,9,2025
140,4,25,9,2025
141,21,25,9,2025
142,2,26,9,2025
143,12,27,9,2025
144,23,30,9,2025
145,14,1,10,2025
146,10,3,10,2025
147,14,3,10,2025
148,6,4,10,2025
149,5,8,10,2025
150,23,8,10,2025
151,9,9,10,2025
152,21,10,10,2025
153,15,14,10,2025
154,10,16,10,2025
155,21,19,10,2025
156,13,20,10,2025
157,7,25,10,2025
158,9,25,10,2025
159,13,26,10,2025
160,9,28,10,2025
161,16,28,10,2025
162,8,31,10,2025
163,22,2,11,2025
164,16,5,11,2025
165,6,6,11,2025
166,12,9,11,2025
167,22,13,11,2025
168,12,14,11,2025
169,7,16,11,2025
170,17,25,11,2025
