order_id,product_id,time_id,buyer_id,seller_id,flash_sale_id,quantity_sold,price_per_item,total_sale
1,64,96,44,18,0,6,165.26,991.56
2,130,159,51,14,0,1,32.11,32.11
3,36,86,57,1,7,7,226.87,1588.09
4,196,41,89,1,0,7,169.63,1187.41
5,68,111,65,11,0,3,152.23,456.69
6,166,56,67,15,0,5,470.57,2352.85
7,1,16,57,4,0,4,116.10,464.40
8,25,71,73,7,0,1,367.21,367.21
9,160,73,61,13,0,5,325.18,1625.90
10,43,77,76,6,0,1,177.72,177.72
11,137,119,91,20,0,2,219.64,439.28
12,88,156,59,10,0,8,386.34,3090.72
13,108,76,75,10,6,3,55.05,165.15
14,77,21,93,5,0,4,85.56,342.24
15,73,33,94,7,0,7,226.40,1584.80
16,168,90,61,4,0,8,180.15,1441.20
17,177,24,64,11,5,3,353.88,1061.64
18,117,149,37,1,0,4,259.79,1039.16
19,54,148,32,14,0,3,237.67,713.01
20,29,78,80,1,10,2,317.15,634.30
21,89,107,84,1,0,9,254.58,2291.22
22,140,54,78,17,0,2,62.81,125.62
23,93,42,70,13,0,1,65.98,65.98
24,109,131,95,8,0,6,82.83,496.98
25,103,75,82,11,0,8,316.40,2531.20
26,175,123,91,13,0,4,39.93,159.72
27,85,138,46,1,0,5,81.33,406.65
28,195,88,49,17,9,7,193.37,1353.59
29,168,125,74,4,0,5,180.15,900.75
30,36,29,34,1,7,8,226.87,1814.96
31,106,162,27,6,0,8,384.43,3075.44
32,135,37,68,8,0,9,189.51,1705.59
33,139,18,90,9,0,8,335.36,2682.88
34,31,168,63,10,0,3,225.35,676.05
35,167,164,58,10,2,5,248.24,1241.20
36,162,108,59,12,0,1,230.84,230.84
37,13,45,35,18,0,9,340.95,3068.55
38,170,130,48,11,0,5,170.99,854.95
39,195,122,33,17,9,1,193.37,193.37
40,113,152,35,20,0,5,41.49,207.45
41,66,20,67,11,0,3,267.45,802.35
42,27,65,71,12,0,1,361.42,361.42
43,184,49,85,18,0,8,156.95,1255.60
44,10,150,43,6,0,1,322.17,322.17
45,77,113,37,5,0,4,85.56,342.24
46,65,105,92,18,4,7,30.37,212.59
47,120,100,31,16,6,6,121.89,731.34
48,51,147,51,14,0,7,218.94,1532.58
49,26,112,73,17,0,10,60.30,603.00
50,180,143,26,18,0,5,54.10,270.50
51,182,26,51,10,0,3,99.29,297.87
52,29,98,90,1,10,8,317.15,2537.20
53,181,64,31,7,0,8,135.06,1080.48
54,168,109,63,4,0,10,180.15,1801.50
55,79,102,87,8,5,3,198.55,595.65
56,77,12,54,5,0,8,85.56,684.48
57,167,14,50,10,2,2,248.24,496.48
58,62,142,91,7,9,1,21.81,21.81
