cart_item_id,user_id,product_id,quantity_added
1,51,1,1
2,52,2,2
3,53,3,3
4,54,4,4
5,55,5,5
6,56,6,1
7,57,7,2
8,58,8,3
9,59,9,4
10,60,10,5
11,61,11,1
12,62,12,2
13,63,13,3
14,64,14,4
15,65,15,5
16,66,16,1
17,67,17,2
18,68,18,3
19,69,19,4
20,70,20,5
21,71,21,1
22,72,22,2
23,73,23,3
24,74,24,4
25,75,25,5
26,76,26,1
27,77,27,2
28,78,28,3
29,79,29,4
30,80,30,5
31,81,31,1
32,82,32,2
33,83,33,3
34,84,34,4
35,85,35,5
36,86,36,1
37,87,37,2
38,88,38,3
39,89,39,4
40,90,40,5
41,91,41,1
42,92,42,2
43,93,43,3
44,94,44,4
45,95,45,5
46,96,46,1
47,97,47,2
48,98,48,3
49,99,49,4
50,100,50,5
51,51,51,1
52,52,52,2
53,53,53,3
54,54,54,4
55,55,55,5
56,56,56,1
57,57,57,2
58,58,58,3
59,59,59,4
60,60,60,5
61,61,61,1
62,62,62,2
63,63,63,3
64,64,64,4
65,65,65,5
66,66,66,1
67,67,67,2
68,68,68,3
69,69,69,4
70,70,70,5
71,71,71,1
72,72,72,2
73,73,73,3
74,74,74,4
75,75,75,5
76,76,76,1
77,77,77,2
78,78,78,3
79,79,79,4
80,80,80,5
81,81,81,1
82,82,82,2
83,83,83,3
84,84,84,4
85,85,85,5
86,86,86,1
87,87,87,2
88,88,88,3
89,89,89,4
90,90,90,5
91,91,91,1
92,92,92,2
93,93,93,3
94,94,94,4
95,95,95,5
96,96,96,1
97,97,97,2
98,98,98,3
99,99,99,4
100,100,100,5
101,51,101,1
102,52,102,2
103,53,103,3
104,54,104,4
105,55,105,5
106,56,106,1
107,57,107,2
108,58,108,3
109,59,109,4
110,60,110,5
111,61,111,1
112,62,112,2
113,63,113,3
114,64,114,4
115,65,115,5
116,66,116,1
117,67,117,2
118,68,118,3
119,69,119,4
120,70,120,5
